Model,ClickHouse,Doris,Drill,Druid,DuckDB,Hive,MySQL,Oracle,PostgreSQL,Presto,Spark,SQLite,StarRocks,T-SQL,Teradata,Trino,Avg.,Avg. N
GPT-3.5-Turbo,25.39,29.69,19.92,13.28,28.12,27.34,31.64,42.58,28.91,24.22,30.86,32.42,32.42,28.52,14.06,25.78,27.20,16
GPT-5-mini,51.17,49.22,46.88,32.03,55.08,56.64,56.25,62.89,52.34,49.22,53.52,54.30,50.78,55.47,31.64,49.22,50.42,16
GPT-5.1-codex,52.34,50.39,48.44,30.08,51.17,56.25,56.25,46.48,54.69,50.78,54.69,55.47,51.95,55.08,26.95,52.34,49.58,16
Gemini-2.5-Pro,51.95,50.00,47.27,32.03,55.08,57.81,55.86,34.77,54.30,55.86,55.08,59.38,51.95,52.34,33.98,54.30,50.12,16
Claude-4.5-Sonnet,57.81,49.61,51.56,34.77,53.91,59.77,57.03,62.50,56.64,58.20,54.69,58.98,55.47,57.03,32.42,55.47,53.49,16
Qwen3-1.7B,26.95,24.22,21.88,7.81,30.08,29.30,29.69,39.06,22.27,26.17,30.86,31.25,30.47,21.09,12.50,27.73,25.71,16
Qwen3-4B,38.28,41.80,34.38,17.97,40.62,44.53,44.53,47.66,37.50,35.16,42.19,45.31,44.14,41.80,20.31,35.16,38.21,16
Qwen3-8B,41.41,40.23,39.84,23.05,40.23,42.19,48.05,50.39,44.53,38.67,46.48,44.53,44.92,46.88,19.14,36.33,40.43,16
Qwen3-32B,44.14,43.36,43.75,26.17,47.27,53.91,50.00,52.34,42.58,42.97,47.27,50.00,48.44,51.56,25.39,41.80,44.43,16
Llama-3-8B-Inst,16.41,17.58,11.33,7.81,15.23,14.06,15.23,27.34,14.84,13.67,16.41,16.02,18.75,15.23,8.59,16.02,15.28,16
Llama-3-70B-Inst,35.55,36.72,28.52,17.19,38.28,39.84,36.72,46.88,33.98,29.69,40.62,36.72,42.19,35.55,17.58,32.81,34.30,16
DeepSeek-Coder-16B,24.61,20.70,23.83,9.77,25.39,30.47,30.86,41.02,25.00,9.77,26.95,27.34,29.30,25.39,8.59,20.31,23.71,16
DeepSeek-v4-flash,42.58,42.97,40.62,24.22,46.88,52.73,51.17,55.86,45.31,44.53,51.17,52.34,49.61,49.61,23.05,42.97,44.73,16
