Model,ClickHouse,Doris,Drill,Druid,DuckDB,Hive,MySQL,Oracle,PostgreSQL,Presto,Spark,SQLite,StarRocks,T-SQL,Teradata,Trino,Avg.,Avg. N
GPT-3.5-Turbo,35.14,38.33,29.20,22.75,37.09,36.18,40.81,49.35,36.44,36.31,39.37,41.13,39.18,37.74,23.86,35.85,36.17,16
GPT-5-mini,51.56,49.80,48.83,37.74,52.74,54.04,54.30,60.56,51.37,50.98,52.93,52.48,51.89,53.85,35.85,49.02,50.50,16
GPT-5.1-codex,52.61,49.93,48.11,38.20,52.93,55.48,54.89,49.67,52.35,52.41,53.65,53.78,52.41,54.63,35.07,50.72,50.43,16
Gemini-2.5-Pro,53.98,51.76,50.85,37.42,56.19,59.32,57.82,34.29,53.59,57.89,56.65,59.78,54.43,55.61,38.40,55.61,52.10,16
Claude-4.5-Sonnet,56.84,52.74,52.28,39.90,55.28,59.58,58.54,63.75,54.95,58.08,56.13,59.84,56.06,56.26,37.74,56.06,54.63,16
Qwen3-1.7B,33.90,35.07,27.57,18.71,35.27,36.70,35.85,43.48,32.92,32.46,35.27,35.40,36.31,32.66,22.43,34.16,33.01,16
Qwen3-4B,43.02,44.52,41.72,26.53,44.26,46.74,46.61,44.92,42.70,41.72,43.94,46.94,45.50,46.41,29.60,41.46,42.29,16
Qwen3-8B,46.54,46.15,44.13,31.29,47.00,44.85,50.20,51.11,46.35,32.99,47.46,49.09,47.46,48.57,29.34,44.20,44.17,16
Qwen3-32B,49.74,47.20,46.54,33.83,49.93,51.96,52.02,53.06,48.50,47.78,49.22,53.39,50.52,51.69,32.27,46.61,47.77,16
Llama-3-8B-Inst,20.80,23.99,18.45,16.56,22.29,22.23,22.03,31.23,22.43,22.23,23.34,23.60,24.12,21.12,15.45,22.75,22.04,16
Llama-3-70B-Inst,40.16,40.09,37.74,26.92,41.72,42.63,43.74,51.56,40.16,38.01,42.89,42.24,42.57,40.61,26.47,39.05,39.78,16
DeepSeek-Coder-16B,32.46,31.10,32.07,21.38,32.72,34.88,36.57,45.44,31.88,31.55,34.42,35.01,34.88,31.68,19.95,32.53,32.41,16
DeepSeek-v4-flash,48.04,46.94,46.28,34.22,49.02,52.80,52.54,57.50,48.50,49.02,51.56,53.46,50.20,51.43,30.90,47.59,48.12,16
